Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_63,VDD,Metal1,37.6890,18.3010,1.199928
FILLER_0_56,VDD,Metal1,34.3290,18.3010,1.199932
FILLER_0_49,VDD,Metal1,30.9690,18.3010,1.199937
FILLER_0_42,VDD,Metal1,27.6090,18.3010,1.199938
FILLER_0_35,VDD,Metal1,24.2490,18.3010,1.199964
FILLER_0_28,VDD,Metal1,20.8890,18.3010,1.199966
FILLER_0_21,VDD,Metal1,17.5290,18.3010,1.199970
FILLER_0_14,VDD,Metal1,14.1690,18.3010,1.199968
FILLER_0_7,VDD,Metal1,10.8090,18.3010,1.199967
FILLER_0_0,VDD,Metal1,7.4490,18.3010,1.199967
clkload0,VDD,Metal1,15.7300,71.4880,1.199922
clkbuf_1_1__f_sclk,VDD,Metal1,22.3200,71.3120,1.199923
clkbuf_1_0__f_sclk,VDD,Metal1,25.2000,34.5270,1.199932
clkbuf_0_sclk,VDD,Metal1,24.7200,56.1920,1.199923
fanout11,VDD,Metal1,47.4900,87.1070,1.198452
fanout10,VDD,Metal1,51.3900,94.3320,1.199844
fanout9,VDD,Metal1,8.1900,86.7720,1.199615
fanout8,VDD,Metal1,8.1900,64.4270,1.199888
fanout7,VDD,Metal1,80.1900,41.4120,1.198966
fanout6,VDD,Metal1,65.7900,71.6520,1.199776
fanout5,VDD,Metal1,43.1700,41.7470,1.199432
output4,VDD,Metal1,84.9300,26.2920,1.199095
input3,VDD,Metal1,6.6900,41.4120,1.199698
input2,VDD,Metal1,6.6900,87.1070,1.199500
input1,VDD,Metal1,6.6900,56.8670,1.199873
_268_,VDD,Metal1,61.7020,86.4580,1.198457
_267_,VDD,Metal1,54.9820,87.4210,1.198464
_266_,VDD,Metal1,76.5820,78.8980,1.198390
_265_,VDD,Metal1,77.0170,86.4580,1.198427
_264_,VDD,Metal1,68.9020,79.8610,1.198390
_263_,VDD,Metal1,78.9820,57.1810,1.197172
_262_,VDD,Metal1,78.5020,63.7780,1.199275
_261_,VDD,Metal1,65.5420,63.7780,1.199296
_260_,VDD,Metal1,78.9820,48.6580,1.197278
_259_,VDD,Metal1,46.3420,86.4580,1.198487
_258_,VDD,Metal1,44.4220,79.8610,1.198663
_257_,VDD,Metal1,50.6620,71.3380,1.199776
_256_,VDD,Metal1,50.6620,63.7780,1.199491
_255_,VDD,Metal1,54.9820,48.6580,1.197344
_254_,VDD,Metal1,78.9820,42.0610,1.198966
_253_,VDD,Metal1,78.5020,26.9410,1.199095
_252_,VDD,Metal1,51.6220,25.9780,1.199212
_251_,VDD,Metal1,37.2220,25.9780,1.199254
_250_,VDD,Metal1,15.6220,79.8610,1.199916
_249_,VDD,Metal1,15.6220,86.4580,1.199617
_248_,VDD,Metal1,15.6220,64.7410,1.199913
_247_,VDD,Metal1,16.1020,63.7780,1.199913
_246_,VDD,Metal1,17.0620,48.6580,1.199927
_245_,VDD,Metal1,17.0620,42.0610,1.199916
_244_,VDD,Metal1,21.3820,26.9410,1.199890
_243_,VDD,Metal1,18.0220,19.3810,1.199966
_242_,VDD,Metal1,21.3820,25.9780,1.199890
_241_,VDD,Metal1,56.7500,79.7110,1.198564
_240_,VDD,Metal1,53.6500,86.6080,1.198475
_239_,VDD,Metal1,69.2300,79.0480,1.198389
_238_,VDD,Metal1,75.9500,79.7110,1.198390
_237_,VDD,Metal1,63.4700,79.0480,1.198389
_236_,VDD,Metal1,75.4700,56.3680,1.197170
_235_,VDD,Metal1,71.6300,57.0310,1.197192
_234_,VDD,Metal1,58.1900,63.9280,1.199491
_233_,VDD,Metal1,74.5100,49.4710,1.197284
_232_,VDD,Metal1,38.9900,86.6080,1.198673
_231_,VDD,Metal1,37.5500,86.6080,1.198706
